Horse_ID,Heart_Rate,Respiration_Rate,Temperature,Movement_Activity,Reaction_Score,Therapy_Readiness,Health_Status,Readiness_Score,Alert,Care_Recommendation
TH00102,49,15,36.9,1,1,Medium,Healthy,0.69,No Alert,No Change
TH00103,44,15,37.0,9,3,High,Healthy,1.0,No Alert,No Change
TH00104,30,13,37.8,4,1,Medium,Critical,0.44,Emergency,Veterinary Checkup
TH00105,49,18,37.5,3,3,High,Healthy,0.46,No Alert,No Change
TH00106,47,15,37.3,6,1,High,Healthy,0.35,No Alert,No Change
TH00107,47,16,37.9,1,1,High,Healthy,0.92,No Alert,No Change
TH00108,32,10,37.2,5,2,Medium,Critical,0.8,Emergency,Veterinary Checkup
TH00109,34,11,37.4,7,3,Medium,Critical,0.28,Emergency,Veterinary Checkup
TH00110,55,18,38.2,2,4,High,Healthy,0.99,No Alert,No Change
TH00111,44,14,38.3,9,1,High,Healthy,0.78,No Alert,No Change
TH00112,51,17,38.3,6,3,High,Healthy,0.88,No Alert,No Change
TH00113,45,13,37.4,2,1,High,Healthy,0.24,No Alert,No Change
TH00114,45,13,38.1,8,2,High,Healthy,0.6,No Alert,No Change
TH00115,54,15,37.0,8,2,High,Healthy,0.76,No Alert,No Change
TH00116,39,10,37.0,1,2,High,Critical,0.63,Emergency,Veterinary Checkup
TH00117,45,13,36.5,1,2,Medium,Critical,0.73,Emergency,Veterinary Checkup
TH00118,40,14,38.3,1,4,High,Healthy,0.85,No Alert,No Change
TH00119,40,12,37.1,4,4,High,Healthy,0.5,No Alert,No Change
TH00120,41,15,37.4,4,1,High,Healthy,0.88,No Alert,No Change
TH00121,47,16,37.0,8,3,High,Healthy,0.33,No Alert,No Change
TH00122,40,9,37.8,1,2,High,Healthy,0.42,No Alert,No Change
TH00123,57,20,37.3,3,2,High,Healthy,0.23,No Alert,No Change
TH00124,36,14,36.8,1,4,Medium,Critical,0.49,Emergency,Veterinary Checkup
TH00125,43,12,37.7,9,4,High,Healthy,0.5,No Alert,No Change
TH00126,40,14,36.8,9,2,Medium,Healthy,0.84,No Alert,No Change
TH00127,59,18,37.1,7,3,High,Healthy,0.72,No Alert,No Change
TH00128,46,16,36.5,8,1,Medium,Critical,0.55,Emergency,Veterinary Checkup
TH00129,55,16,36.8,1,1,Medium,Healthy,0.72,No Alert,No Change
TH00130,30,8,37.6,5,1,Medium,Critical,0.24,Emergency,Veterinary Checkup
TH00131,47,15,36.5,2,1,Medium,Critical,0.34,Emergency,Veterinary Checkup
TH00132,53,17,36.8,1,3,Medium,Healthy,0.7,No Alert,No Change
TH00133,45,14,37.5,3,3,High,Healthy,0.71,No Alert,No Change
TH00134,55,16,37.2,7,3,High,Healthy,0.82,No Alert,No Change
TH00135,39,12,38.5,1,4,High,Critical,0.52,Emergency,Veterinary Checkup
TH00136,59,20,38.4,2,2,High,Healthy,0.78,No Alert,No Change
TH00137,67,22,37.1,2,3,Low,Healthy,0.75,No Alert,No Change
TH00138,41,14,37.8,4,1,High,Healthy,0.97,No Alert,No Change
TH00139,40,12,37.9,3,3,High,Healthy,0.37,No Alert,No Change
TH00140,59,22,37.2,3,2,High,Healthy,0.64,No Alert,No Change
TH00141,60,18,36.8,5,4,Medium,Healthy,0.68,No Alert,No Change
TH00142,39,14,37.5,3,1,High,Critical,1.0,Emergency,Veterinary Checkup
TH00143,40,16,37.4,7,4,High,Healthy,0.36,No Alert,No Change
TH00144,42,15,37.3,5,3,High,Healthy,0.62,No Alert,No Change
TH00145,31,10,37.7,4,1,Medium,Critical,0.48,Emergency,Veterinary Checkup
TH00146,35,11,37.1,3,1,High,Critical,0.62,Emergency,Veterinary Checkup
TH00147,34,13,36.9,4,3,Medium,Critical,0.39,Emergency,Veterinary Checkup
TH00148,37,9,37.6,2,3,High,Critical,0.24,Emergency,Veterinary Checkup
TH00149,44,13,37.7,1,2,High,Healthy,0.66,No Alert,No Change
TH00150,47,15,36.9,3,3,Medium,Healthy,0.47,No Alert,No Change
TH00151,60,22,38.0,2,3,High,Healthy,0.35,No Alert,No Change
TH00152,35,12,36.6,1,3,Medium,Critical,0.46,Emergency,Veterinary Checkup
TH00153,54,16,37.2,1,1,High,Healthy,0.24,No Alert,No Change
TH00154,42,13,37.4,2,2,High,Healthy,0.96,No Alert,No Change
TH00155,44,13,37.2,9,1,High,Healthy,0.66,No Alert,No Change
TH00156,51,16,37.2,5,3,High,Healthy,0.85,No Alert,No Change
TH00157,33,13,38.4,9,2,Medium,Critical,0.54,Emergency,Veterinary Checkup
TH00158,48,13,37.1,8,3,High,Healthy,0.92,No Alert,No Change
TH00159,46,19,38.7,6,1,High,Healthy,0.59,No Alert,No Change
TH00160,49,18,37.7,1,1,High,Healthy,0.66,No Alert,No Change
TH00161,47,18,37.5,5,3,High,Healthy,0.59,No Alert,No Change
TH00162,69,22,37.7,1,2,Low,Healthy,0.79,No Alert,No Change
TH00163,38,12,38.8,7,1,High,Critical,0.65,Emergency,Veterinary Checkup
TH00164,39,10,37.0,8,3,High,Critical,0.42,Emergency,Veterinary Checkup
TH00165,38,12,36.9,8,4,Medium,Critical,0.32,Emergency,Veterinary Checkup
TH00166,39,14,37.1,7,3,High,Critical,0.68,Emergency,Veterinary Checkup
TH00167,38,15,37.5,2,3,High,Critical,0.59,Emergency,Veterinary Checkup
TH00168,56,16,36.6,5,2,Medium,Critical,0.28,Emergency,Veterinary Checkup
TH00169,59,19,37.5,4,3,High,Healthy,0.52,No Alert,No Change
TH00170,39,13,38.3,5,4,High,Critical,0.61,Emergency,Veterinary Checkup
TH00171,36,9,37.6,9,3,High,Critical,0.86,Emergency,Veterinary Checkup
TH00172,49,18,37.4,4,4,High,Healthy,0.26,No Alert,No Change
TH00173,39,12,37.2,8,1,High,Critical,0.48,Emergency,Veterinary Checkup
TH00174,51,17,37.9,8,3,High,Healthy,0.86,No Alert,No Change
TH00175,47,15,37.1,2,2,High,Healthy,0.72,No Alert,No Change
TH00176,30,8,38.4,6,3,Medium,Critical,0.43,Emergency,Veterinary Checkup
TH00177,60,20,38.5,5,4,High,Healthy,0.88,No Alert,No Change
TH00178,62,20,37.6,2,4,High,Healthy,0.59,No Alert,No Change
TH00179,38,12,37.5,4,2,High,Critical,0.6,Emergency,Veterinary Checkup
TH00180,41,12,38.0,7,4,High,Healthy,0.98,No Alert,No Change
TH00181,47,16,38.0,1,3,High,Healthy,0.96,No Alert,No Change
TH00182,48,19,37.1,9,4,High,Healthy,0.49,No Alert,No Change
TH00183,51,17,37.2,1,3,High,Healthy,0.31,No Alert,No Change
TH00184,65,24,36.8,5,3,Medium,Healthy,0.46,No Alert,No Change
TH00185,43,12,37.7,7,4,High,Healthy,0.22,No Alert,No Change
TH00186,37,13,37.8,8,2,High,Critical,0.22,Emergency,Veterinary Checkup
TH00187,31,8,36.8,2,1,Medium,Critical,0.52,Emergency,Veterinary Checkup
TH00188,37,9,37.3,4,2,High,Critical,0.95,Emergency,Veterinary Checkup
TH00189,44,13,36.8,2,1,Medium,Healthy,0.9,No Alert,No Change
TH00190,62,23,37.1,4,2,High,Healthy,0.61,No Alert,No Change
TH00191,39,15,37.8,6,3,High,Critical,0.65,Emergency,Veterinary Checkup
TH00192,47,16,37.1,6,3,High,Healthy,0.2,No Alert,No Change
TH00193,44,12,37.3,2,4,High,Healthy,0.37,No Alert,No Change
TH00194,56,18,36.7,4,1,Medium,Critical,0.22,Emergency,Veterinary Checkup
TH00195,70,24,37.6,4,1,Low,Healthy,0.8,No Alert,No Change
TH00196,39,13,37.5,1,4,High,Critical,0.32,Emergency,Veterinary Checkup
TH00197,40,10,37.1,2,2,High,Healthy,0.9,No Alert,No Change
TH00198,55,17,37.4,3,4,High,Healthy,0.71,No Alert,No Change
TH00199,51,17,37.6,5,2,High,Healthy,0.38,No Alert,No Change
TH00200,63,22,37.1,8,4,High,Healthy,0.33,No Alert,No Change
TH00201,50,12,36.8,6,1,Medium,Healthy,0.7,No Alert,No Change
TH00202,41,13,38.4,3,1,High,Healthy,0.92,No Alert,No Change
TH00203,50,17,37.2,6,2,High,Healthy,0.77,No Alert,No Change
TH00204,56,20,37.5,7,1,High,Healthy,0.48,No Alert,No Change
TH00205,53,19,38.0,6,1,High,Healthy,0.67,No Alert,No Change
TH00206,50,18,39.3,6,1,Low,Critical,0.45,Emergency,Veterinary Checkup
TH00207,55,17,36.9,1,1,Medium,Healthy,1.0,No Alert,No Change
TH00208,56,15,37.7,3,3,High,Healthy,0.8,No Alert,No Change
TH00209,58,19,37.1,7,4,High,Healthy,0.69,No Alert,No Change
TH00210,51,19,37.2,4,4,High,Healthy,0.54,No Alert,No Change
TH00211,43,17,37.1,4,3,High,Healthy,0.69,No Alert,No Change
TH00212,46,17,36.9,7,1,Medium,Healthy,0.47,No Alert,No Change
TH00213,57,20,37.5,9,4,High,Healthy,0.22,No Alert,No Change
TH00214,36,13,36.8,2,4,Medium,Critical,0.52,Emergency,Veterinary Checkup
TH00215,48,15,38.0,9,4,High,Healthy,0.94,No Alert,No Change
TH00216,41,13,37.5,3,2,High,Healthy,0.7,No Alert,No Change
TH00217,45,18,37.7,6,3,High,Healthy,0.27,No Alert,No Change
TH00218,57,17,37.3,4,2,High,Healthy,0.91,No Alert,No Change
TH00219,46,19,37.3,1,2,High,Healthy,0.42,No Alert,No Change
TH00220,45,14,37.6,9,3,High,Healthy,0.4,No Alert,No Change
TH00221,31,13,36.9,6,4,Medium,Critical,0.44,Emergency,Veterinary Checkup
TH00222,52,15,37.3,8,2,High,Healthy,0.66,No Alert,No Change
TH00223,51,18,37.1,2,4,High,Healthy,0.64,No Alert,No Change
TH00224,66,21,37.1,7,2,Low,Healthy,0.59,No Alert,No Change
TH00225,41,11,36.5,6,4,Medium,Critical,0.77,Emergency,Veterinary Checkup
TH00226,47,16,38.2,2,1,High,Healthy,0.45,No Alert,No Change
TH00227,47,18,37.2,2,1,High,Healthy,0.83,No Alert,No Change
TH00228,60,18,38.1,4,1,High,Healthy,0.34,No Alert,No Change
TH00229,44,12,38.0,4,3,High,Healthy,0.83,No Alert,No Change
TH00230,47,15,36.9,3,1,Medium,Healthy,0.73,No Alert,No Change
TH00231,51,17,37.0,8,2,High,Healthy,0.75,No Alert,No Change
TH00232,46,16,38.8,7,4,High,Healthy,0.59,No Alert,No Change
TH00233,40,15,38.4,2,4,High,Healthy,0.73,No Alert,No Change
TH00234,46,15,37.5,3,4,High,Healthy,0.26,No Alert,No Change
TH00235,55,22,37.6,9,4,High,Healthy,0.88,No Alert,No Change
TH00236,34,12,37.2,5,2,Medium,Critical,0.24,Emergency,Veterinary Checkup
TH00237,46,15,37.7,2,4,High,Healthy,0.32,No Alert,No Change
TH00238,37,9,37.1,3,2,High,Critical,0.66,Emergency,Veterinary Checkup
TH00239,56,18,36.5,8,2,Medium,Critical,0.79,Emergency,Veterinary Checkup
TH00240,30,9,36.8,4,4,Medium,Critical,0.26,Emergency,Veterinary Checkup
TH00241,39,15,37.5,2,4,High,Critical,0.94,Emergency,Veterinary Checkup
TH00242,48,17,36.9,2,4,Medium,Healthy,0.98,No Alert,No Change
TH00243,60,18,37.5,6,2,High,Healthy,0.68,No Alert,No Change
TH00244,44,15,37.0,8,3,High,Healthy,0.58,No Alert,No Change
TH00245,39,14,37.1,7,2,High,Critical,0.79,Emergency,Veterinary Checkup
TH00246,63,24,37.9,4,3,High,Healthy,0.46,No Alert,No Change
TH00247,30,12,37.6,2,4,Medium,Critical,0.59,Emergency,Veterinary Checkup
TH00248,30,12,37.5,9,2,Medium,Critical,0.93,Emergency,Veterinary Checkup
TH00249,49,16,37.9,4,4,High,Healthy,0.96,No Alert,No Change
TH00250,39,14,37.7,9,3,High,Critical,0.94,Emergency,Veterinary Checkup
TH00251,34,14,38.2,5,3,Medium,Critical,0.41,Emergency,Veterinary Checkup
TH00252,52,15,37.3,7,2,High,Healthy,0.39,No Alert,No Change
TH00253,47,15,37.3,5,2,High,Healthy,0.44,No Alert,No Change
TH00254,39,11,36.8,2,2,Medium,Critical,0.55,Emergency,Veterinary Checkup
TH00255,32,11,37.3,6,2,Medium,Critical,0.45,Emergency,Veterinary Checkup
TH00256,53,20,38.0,7,1,High,Healthy,0.5,No Alert,No Change
TH00257,51,16,38.1,6,1,High,Healthy,0.7,No Alert,No Change
TH00258,44,10,38.0,3,4,High,Healthy,0.81,No Alert,No Change
TH00259,63,20,36.6,8,3,Medium,Critical,0.79,Emergency,Veterinary Checkup
TH00260,34,13,38.0,3,3,Medium,Critical,0.85,Emergency,Veterinary Checkup
TH00261,30,11,36.6,5,4,Medium,Critical,0.23,Emergency,Veterinary Checkup
TH00262,38,14,37.9,9,4,High,Critical,0.24,Emergency,Veterinary Checkup
TH00263,44,14,37.3,5,4,High,Healthy,0.83,No Alert,No Change
TH00264,47,13,37.9,7,1,High,Healthy,0.63,No Alert,No Change
TH00265,42,15,36.8,7,4,Medium,Healthy,0.66,No Alert,No Change
TH00266,48,14,38.1,5,3,High,Healthy,0.24,No Alert,No Change
TH00267,32,15,36.8,2,4,Medium,Critical,0.4,Emergency,Veterinary Checkup
TH00268,59,21,37.2,5,2,High,Healthy,0.71,No Alert,No Change
TH00269,44,14,37.0,7,3,High,Healthy,0.89,No Alert,No Change
TH00270,56,17,36.6,7,3,Medium,Critical,0.93,Emergency,Veterinary Checkup
TH00271,48,16,37.5,4,3,High,Healthy,0.6,No Alert,No Change
TH00272,49,16,38.4,1,1,High,Healthy,0.64,No Alert,No Change
TH00273,50,19,38.8,6,1,High,Healthy,0.87,No Alert,No Change
TH00274,49,17,37.5,3,3,High,Healthy,0.63,No Alert,No Change
TH00275,51,16,38.1,5,2,High,Healthy,0.61,No Alert,No Change
TH00276,58,23,37.6,4,3,High,Healthy,0.92,No Alert,No Change
TH00277,46,15,37.7,2,1,High,Healthy,0.83,No Alert,No Change
TH00278,52,19,37.3,7,2,High,Healthy,0.93,No Alert,No Change
TH00279,44,13,37.6,5,3,High,Healthy,0.37,No Alert,No Change
TH00280,59,20,37.8,7,1,High,Healthy,0.62,No Alert,No Change
TH00281,38,13,37.2,9,2,High,Critical,0.87,Emergency,Veterinary Checkup
TH00282,63,17,37.5,4,4,High,Healthy,0.29,No Alert,No Change
TH00283,44,19,37.5,5,4,High,Healthy,0.84,No Alert,No Change
TH00284,30,13,37.9,9,3,Medium,Critical,0.35,Emergency,Veterinary Checkup
TH00285,46,15,37.0,4,4,High,Healthy,0.85,No Alert,No Change
TH00286,38,10,37.5,5,1,High,Critical,0.69,Emergency,Veterinary Checkup
TH00287,53,18,38.5,5,2,High,Healthy,0.35,No Alert,No Change
TH00288,38,13,38.1,8,3,High,Critical,0.58,Emergency,Veterinary Checkup
TH00289,40,14,38.2,4,2,High,Healthy,0.75,No Alert,No Change
TH00290,30,10,37.5,4,2,Medium,Critical,0.71,Emergency,Veterinary Checkup
TH00291,40,14,37.7,7,2,High,Healthy,0.54,No Alert,No Change
TH00292,30,13,38.0,5,1,Medium,Critical,0.92,Emergency,Veterinary Checkup
TH00293,30,11,38.3,6,3,Medium,Critical,0.62,Emergency,Veterinary Checkup
TH00294,52,15,36.5,6,4,Medium,Critical,0.6,Emergency,Veterinary Checkup
TH00295,52,20,36.8,6,2,Medium,Healthy,0.25,No Alert,No Change
TH00296,49,20,38.2,5,2,High,Healthy,0.94,No Alert,No Change
TH00297,35,18,37.4,5,2,High,Critical,0.34,Emergency,Veterinary Checkup
TH00298,44,12,37.2,9,1,High,Healthy,0.62,No Alert,No Change
TH00299,44,15,36.9,8,4,Medium,Healthy,0.84,No Alert,No Change
TH00300,33,8,37.2,4,2,Medium,Critical,0.37,Emergency,Veterinary Checkup
TH00301,60,21,36.8,7,1,Medium,Healthy,0.62,No Alert,No Change
TH00302,53,17,38.5,8,1,High,Healthy,0.39,No Alert,No Change
TH00303,42,18,37.5,9,2,High,Healthy,0.81,No Alert,No Change
TH00304,45,13,37.5,5,2,High,Healthy,0.65,No Alert,No Change
TH00305,47,12,37.8,3,1,High,Healthy,0.88,No Alert,No Change
TH00306,30,9,38.0,4,1,Medium,Critical,0.92,Emergency,Veterinary Checkup
TH00307,42,10,38.0,6,2,High,Healthy,0.72,No Alert,No Change
TH00308,38,14,38.0,5,1,High,Critical,0.78,Emergency,Veterinary Checkup
TH00309,34,8,37.2,9,1,Medium,Critical,0.64,Emergency,Veterinary Checkup
TH00310,42,14,37.4,3,2,High,Healthy,0.51,No Alert,No Change
TH00311,62,17,37.9,2,2,High,Healthy,0.72,No Alert,No Change
TH00312,51,16,37.2,6,3,High,Healthy,0.93,No Alert,No Change
TH00313,39,16,37.5,7,4,High,Critical,0.53,Emergency,Veterinary Checkup
TH00314,50,17,37.7,5,2,High,Healthy,0.45,No Alert,No Change
TH00315,58,18,37.9,1,2,High,Healthy,0.51,No Alert,No Change
TH00316,54,18,36.6,3,2,Medium,Critical,0.55,Emergency,Veterinary Checkup
TH00317,45,15,37.9,3,4,High,Healthy,0.26,No Alert,No Change
TH00318,38,14,37.4,4,3,High,Critical,0.6,Emergency,Veterinary Checkup
TH00319,51,14,37.9,6,1,High,Healthy,0.6,No Alert,No Change
TH00320,48,17,37.9,5,4,High,Healthy,0.67,No Alert,No Change
TH00321,53,12,38.3,1,2,High,Healthy,0.49,No Alert,No Change
TH00322,51,16,38.2,6,2,High,Healthy,0.69,No Alert,No Change
TH00323,55,17,38.2,9,3,High,Healthy,0.9,No Alert,No Change
TH00324,39,14,38.2,1,3,High,Critical,0.96,Emergency,Veterinary Checkup
TH00325,58,19,37.6,8,3,High,Healthy,0.67,No Alert,No Change
TH00326,46,13,37.5,8,1,High,Healthy,0.23,No Alert,No Change
TH00327,65,20,37.9,3,4,High,Healthy,0.98,No Alert,No Change
TH00328,38,13,37.9,9,4,High,Critical,0.76,Emergency,Veterinary Checkup
TH00329,62,21,37.3,8,3,High,Healthy,0.47,No Alert,No Change
TH00330,46,14,37.7,3,1,High,Healthy,0.32,No Alert,No Change
TH00331,38,12,37.5,5,4,High,Critical,0.31,Emergency,Veterinary Checkup
TH00332,40,15,37.1,3,2,High,Healthy,0.33,No Alert,No Change
TH00333,41,13,38.1,5,2,High,Healthy,0.24,No Alert,No Change
TH00334,49,16,37.5,9,2,High,Healthy,0.92,No Alert,No Change
TH00335,50,21,38.5,4,4,High,Healthy,0.63,No Alert,No Change
TH00336,39,10,36.7,6,3,Medium,Critical,0.76,Emergency,Veterinary Checkup
TH00337,44,11,37.2,3,2,High,Healthy,0.86,No Alert,No Change
TH00338,66,24,37.5,3,3,Low,Healthy,0.83,No Alert,No Change
TH00339,62,19,38.1,5,1,High,Healthy,0.91,No Alert,No Change
TH00340,49,16,37.7,8,2,High,Healthy,0.97,No Alert,No Change
TH00341,45,13,37.7,8,1,High,Healthy,0.55,No Alert,No Change
TH00342,46,15,36.9,3,3,Medium,Healthy,0.96,No Alert,No Change
TH00343,51,20,36.9,8,4,Medium,Healthy,0.78,No Alert,No Change
TH00344,34,13,37.7,8,3,Medium,Critical,0.26,Emergency,Veterinary Checkup
TH00345,42,16,36.8,3,2,Medium,Healthy,0.75,No Alert,No Change
TH00346,30,8,37.2,2,2,Medium,Critical,0.75,Emergency,Veterinary Checkup
TH00347,48,14,37.8,2,3,High,Healthy,0.92,No Alert,No Change
TH00348,51,11,37.0,9,2,High,Healthy,0.5,No Alert,No Change
TH00349,40,12,38.3,7,2,High,Healthy,0.67,No Alert,No Change
TH00350,60,22,38.1,6,1,High,Healthy,0.21,No Alert,No Change
TH00351,32,12,36.7,7,4,Medium,Critical,0.47,Emergency,Veterinary Checkup
TH00352,30,10,37.0,8,3,Medium,Critical,0.25,Emergency,Veterinary Checkup
